Row_No,DBMS,IM,CF,MG,RAM_Size,Gen,GM,IC,DB_Size,QNo,AGG,SQ,NumJoins,NumFTAtts,NumAllAtts,NumAllTbl,NumDsTbl,CW,OB,HDT,DHT,PF,NumIK,KT,KU,ET,ETN,OV
107,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q19,T,F,1.0,6.0,10.0,2.0,2.0,F,F,569.417,172.896,0,169,63277.030000000006,,73880,385.94482,307.63595
108,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q20,T,T,2.0,3.0,17.0,5.0,5.0,F,T,433.544,143.394,0,251,19102.45,,28740,345.07202,311.21525
109,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q21,T,T,3.0,4.0,16.0,6.0,4.0,F,T,1379.702,780.462,860,1561,3981034.57,,3924470,4368.926283,343.56085
110,BlazingSQL,T,T,F,64,1080ti,11,-,1,Q22,T,T,0.0,0.0,4.0,3.0,2.0,F,T,,,,,,,,,
111,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q1,T,F,0.0,7.0,7.0,1.0,1.0,F,T,478.475,95.618,0,140,60201.69,,77612,478.06409,401.54057
112,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q2,T,T,8.0,0.0,16.0,10.0,5.0,F,T,569.551,238.12,0,282,20861.69,,41708,444.00808,405.81334
113,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q3,T,F,2.0,4.0,10.0,3.0,3.0,F,T,449.394,152.324,0,163,23252.44,,35895,443.79764,406.8103
114,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q4,T,T,0.0,3.0,7.0,2.0,2.0,F,T,332.586,136.996,0,165,44664.560000000005,,57055,465.27218,407.94421
115,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q5,T,F,5.0,4.0,16.0,6.0,6.0,F,T,460.456,177.474,0,166,23721.98,,34880,470.18386,432.41025
116,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q6,T,F,0.0,4.0,4.0,1.0,1.0,F,F,258.858,52.321,0,44,20136.62,,26873,436.34434,406.49831
117,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q7,T,T,5.0,5.0,15.0,6.0,5.0,F,T,700.561,241.963,0,266,60617.28,,77495,487.77858,408.68103
118,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q8,T,T,7.0,5.0,19.0,8.0,8.0,T,T,446.71586,212.584,0,238,23492.32,,39357,446.71586,404.71087
119,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q9,T,T,5.0,6.0,16.0,6.0,6.0,F,T,410.093,153.668,0,162,144703.81,,151911,568.55307,409.36165
120,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q10,T,F,3.0,4.0,16.0,4.0,4.0,F,T,536.176,214.66,0,279,50192.28,,60746,474.87109,407.83907
121,BlazingSQL,T,T,F,64,1080ti,11,-,2,Q11,T,T,4.0,0.0,8.0,6.0,3.0,F,T,,,,,,,,,
