Row_No,DBMS,IM,CF,MG,RAM_Size,Gen,GM,DB_Size,BS,QNo,AGG,SQ,NumJoins,NumFTAtts,NumAllAtts,NumAllTbl,NumDsTbl,CW,OB,HDT,DHT,PF,NumIK,KT,ET
106,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q18,T,T,2,2,8,4,3,F,T,293.475,106.402,0,193,32856.84,40860
107,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q19,T,F,1,6,10,2,2,F,F,569.417,172.896,0,169,63277.03,73880
108,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q20,T,T,2,3,17,5,5,F,T,433.544,143.394,0,251,19102.45,28740
109,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q21,T,T,3,4,16,6,4,F,T,1379.702,780.462,860,1561,3981034.57,3924470
110,BlazingSQL,T,T,F,64,1080ti,11,1,484,Q22,T,T,0,0,4,3,2,F,T,,,,,,
111,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q1,T,F,0,7,7,1,1,F,T,478.475,95.618,0,140,60201.69,77612
112,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q2,T,T,8,0,16,10,5,F,T,569.551,238.12,0,282,20861.69,41708
113,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q3,T,F,2,4,10,3,3,F,T,449.394,152.324,0,163,23252.44,35895
114,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q4,T,T,0,3,7,2,2,F,T,332.586,136.996,0,165,44664.56,57055
115,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q5,T,F,5,4,16,6,6,F,T,460.456,177.474,0,166,23721.98,34880
116,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q6,T,F,0,4,4,1,1,F,F,258.858,52.321,0,44,20136.62,26873
117,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q7,T,T,5,5,15,6,5,F,T,700.561,241.963,0,266,60617.28,77495
118,BlazingSQL,T,T,F,64,1080ti,11,2,484,Q8,T,T,7,5,19,8,8,T,T,446.71586,212.584,0,238,23492.32,39357
